Title,Company,Location,Apply
UI/UX Designer (internship),MindPal,"Minneapolis, MN",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708512061?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=hL9NKYa20tJ%2BXjB4du9crg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Warren, MI",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708511214?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=Tz6tl%2B2KbO%2BMp1yOU%2BKDug%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Miami, FL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510324?refId=JGdcsNaMho4AoDZYxh6CNQ%3D%3D&trackingId=YZAQ0AO2h924BiMqe1wqMQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"New York, United States",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510304?refId=HJnk5CTPlgnXMsrfMAW%2BMg%3D%3D&trackingId=Xfya5rfp2hx8664M7LTXCA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Philadelphia, PA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708513031?refId=HJnk5CTPlgnXMsrfMAW%2BMg%3D%3D&trackingId=rGvubLL7Mj7AimGb%2FrzW8Q%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"San Francisco, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510300?refId=HJnk5CTPlgnXMsrfMAW%2BMg%3D%3D&trackingId=TsgfvuWvKAkRyvxiHXXuWA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Los Angeles, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708507730?refId=HJnk5CTPlgnXMsrfMAW%2BMg%3D%3D&trackingId=wf5RAfGHIf5DusOKVOkS9Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"San Jose, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509585?refId=HJnk5CTPlgnXMsrfMAW%2BMg%3D%3D&trackingId=W1UlCDzenydssCU0C04qaA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Chicago, IL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509715?refId=HJnk5CTPlgnXMsrfMAW%2BMg%3D%3D&trackingId=q7mFybeDvGiOWbxdPI2wfA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Tampa, FL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708511408?refId=HJnk5CTPlgnXMsrfMAW%2BMg%3D%3D&trackingId=EnIbC7J5813Jzqs2KwaYPw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
